iso3,year,imports_from_vn_usd,vn_reported_exports_usd
COL,2012,220896896.0,106414116.0
COL,2013,316050660.0,173523119.0
COL,2014,437822263.0,278289390.0
COL,2015,491169105.0,346002782.0
COL,2016,470731845.0,325094038.9
COL,2017,556991061.68,465921638.1
COL,2018,508884301.86,380342731.43
COL,2019,651644686.83,492448103.51
COL,2020,622568829.49,460337478.93
COL,2021,916167593.38,665784458.28
COM,2002,0,22148.0
COM,2003,0,22562.0
COM,2004,20857.0,73117.0
COM,2005,44831.0,4207.0
COM,2006,124042.0,0
COM,2008,1374024.0,0
COM,2009,331719.88,0
COM,2010,3195181.4,5475413.0
COM,2011,9310001.62,0
COM,2012,670858.43,0
COM,2013,2439333.97,0
COM,2014,3785248.1,0
COM,2015,3074038.15,0
COM,2016,3952990.32,0
COM,2017,7081546.38,0
COM,2018,5213262.97,0
COM,2019,5696787.93,0
COM,2020,7261685.8,0
COM,2021,12696212.86,0
CPV,2002,2584476.0,10850.0
CPV,2003,2197508.0,6484.0
CPV,2004,2634088.0,0
CPV,2005,5387335.0,35146.0
CPV,2006,1236024.0,0
CPV,2007,723083.0,0
CPV,2008,292821.0,0
CPV,2009,3766059.0,0
CPV,2010,762596.0,0
CPV,2011,901011.0,0
CPV,2012,806926.0,0
CPV,2013,1535116.63,0
CPV,2014,1706208.76,0
CPV,2015,1365033.97,0
CPV,2016,1102881.0,0
CPV,2017,1558853.78,0
CPV,2018,2185602.48,0
CPV,2019,3006798.39,0
CPV,2020,2484089.16,0
CPV,2021,1726053.68,0
CRI,2002,308134.0,394296.0
CRI,2003,493203.0,720989.0
CRI,2004,878392.0,790978.0
CRI,2005,1196035.0,2017473.0
CRI,2006,3584510.0,2621947.0
CRI,2007,7715299.0,7345265.0
CRI,2008,14407367.0,12248148.0
CRI,2009,13961512.0,8919667.0
CRI,2010,15000947.0,12048919.0
CRI,2011,22229373.0,14882890.0
CRI,2012,26836471.0,15042617.0
CRI,2013,45765699.0,21067951.0
